"MUNID","CODEID","TYPE","ROUTE_VERT","DIREC_UNIQ","STATUT","REVETEMENT","PROPRIO","LARGEUR","LONGUEUR","ENTITEID","GEOM"
"81017","855","Sentier polyvalent","Non","Non","T.Q.C","Gravier","Ville","3","21.2","{C63DE0D5-C233-49FE-9A4C-CB802CF6FB12}","LINESTRING (-75.7470065263034 45.5006928652045)"
"81017","841","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","31.4","{A62D8355-B37E-4D6F-86DA-DF12E2E7726B}","LINESTRING (-75.776741 45.469889,-75.776845 45.470162)"
"81017","851","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","15.1","{792E6F74-5A86-4B28-A530-A8554A36A0DB}","LINESTRING (-75.7183292003874 45.4487313559098)"
"81017","491","Accotement asphalté","Oui","Oui","T.Q.C","Flexible","Ville","0","3047.2","{E54520FF-DE45-44C7-8495-A552BB5E0AFF}","LINESTRING (-75.488213 45.523394,-75.487891 45.523468,-75.487439 45.523574,-75.487027 45.523682,-75.48633 45.52388,-75.485637 45.524099,-75.485262 45.52422,-75.485029 45.524292,-75.484865 45.524341,-75.484692 45.5244,-75.484504 45.524479,-75.484293 45.524575,-75.484083 45.524661,-75.483397 45.524946,-75.482795 45.525219,-75.482291 45.525457,-75.481699 45.525756,-75.480949 45.526137,-75.47999 45.52662,-75.478412 45.527427,-75.476813 45.528241,-75.475835 45.528737,-75.47529 45.528993,-75.474674 45.529271,-75.474075 45.529517,-75.473529 45.529727,-75.473089 45.529894,-75.471582 45.530445,-75.469722 45.531113,-75.469279 45.531251,-75.468807 45.531367,-75.46841 45.531463,-75.468066 45.531528,-75.467722 45.531583,-75.46739 45.531632,-75.466969 45.531681,-75.466498 45.531733,-75.465728 45.531811,-75.464445 45.531946,-75.463852 45.532021,-75.463074 45.532137,-75.462523 45.532233,-75.461929 45.532348,-75.46124 45.532494,-75.460551 45.532657,-75.459934 45.532814,-75.458925 45.533076,-75.457955 45.533322,-75.456766 45.533628,-75.455924 45.533842,-75.455345 45.533983,-75.453081 45.534578)"
"81017","420","Sentier polyvalent","Non","Non","T.Q.C","Gravier","Ville","0","1119.0","{46924EA2-C925-4ADA-A251-B9CCF4A37651}","LINESTRING (-75.59431 45.49843,-75.594385 45.498476,-75.594415 45.498513,-75.594411 45.498654,-75.594397 45.498693,-75.594366 45.498724,-75.594307 45.498736,-75.594225 45.498733,-75.594121 45.498713,-75.594054 45.49871,-75.59396 45.498719,-75.593852 45.498743,-75.593734 45.498751,-75.593581 45.498741,-75.593431 45.498732,-75.593323 45.498717,-75.593174 45.498664,-75.593026 45.498623,-75.59286 45.49859,-75.592646 45.498575,-75.592426 45.498565,-75.592296 45.498544,-75.592149 45.498492,-75.591984 45.498426,-75.59179 45.498389,-75.591592 45.498344,-75.591469 45.498318,-75.591321 45.498313,-75.59116 45.498319,-75.591035 45.498314,-75.59089 45.498288,-75.590775 45.498275,-75.590642 45.49829,-75.590278 45.498355,-75.590001 45.498391,-75.589763 45.498423,-75.589524 45.498498,-75.589391 45.498535,-75.589152 45.49858,-75.588886 45.49863,-75.588694 45.498655,-75.588555 45.498663,-75.588468 45.498666,-75.588355 45.498701,-75.588222 45.498754,-75.588111 45.498816,-75.588002 45.498916,-75.587929 45.498973,-75.587865 45.499017,-75.587785 45.499043,-75.587726 45.499048,-75.587588 45.499054,-75.587453 45.499068,-75.587327 45.499079,-75.587159 45.499102,-75.586903 45.499112,-75.58672 45.499121,-75.586478 45.499174,-75.58639 45.499163,-75.585959 45.49909,-75.585533 45.499087,-75.584637 45.49922,-75.584284 45.4993,-75.583982 45.499329,-75.583822 45.499382,-75.583689 45.499455,-75.583593 45.499507,-75.583532 45.499516,-75.5834 45.499491,-75.583265 45.499511,-75.583095 45.499555,-75.582992 45.499621,-75.582835 45.499682,-75.58273 45.499707,-75.582543 45.499753,-75.582268 45.499789,-75.582082 45.499823,-75.581922 45.499841,-75.5818 45.499847,-75.581742 45.499873,-75.581675 45.49994,-75.581681 45.500243)"
"81017","871","Piste multifonctionnelle","Non","Non","T.Q.C","Flexible","Ville","0","458.6","{E2081FEE-36BD-47F3-AE57-5B411BE1BCE5}","LINESTRING (-75.643521 45.508322,-75.642605 45.508435,-75.641987 45.508515,-75.641779 45.508536,-75.641147 45.508614,-75.640289 45.508718,-75.639424 45.508827,-75.639178 45.508854,-75.638864 45.508892,-75.638773 45.508901,-75.638677 45.508905,-75.638554 45.508898,-75.638456 45.508886,-75.638335 45.508867,-75.638223 45.508841,-75.63809 45.508802,-75.637986 45.508762,-75.637889 45.508716,-75.637795 45.508678)"
"81017","853","Sentier polyvalent","Non","Non","T.Q.C","Gravier","Ville","3","596.5","{44896639-B647-4D47-AFCD-FA11F0251B74}","LINESTRING (-75.751879 45.499652,-75.7518790323689 45.4996540003454,-75.7518790324723 45.4996560004325,-75.751879 45.499658,-75.751879844752 45.4996795642214,-75.7518740825441 45.4996999049024,-75.751862 45.499718,-75.7517980264978 45.499787981379,-75.7517136411721 45.4998462716318,-75.751613 45.49989,-75.7513840165639 45.4999566965474,-75.7511431379218 45.4999980188936,-75.750896 45.500013,-75.7508503386142 45.5000187576822,-75.7508098634875 45.5000346679771,-75.750779 45.500059,-75.7507110482132 45.5001094269575,-75.750621683124 45.50013909647,-75.750523 45.500144,-75.750294 45.500126,-75.750205552351 45.5001130009134,-75.7501221949738 45.5000883663107,-75.750047 45.500053,-75.7499665912346 45.5000067402871,-75.7498772521178 45.4999694623308,-75.749781 45.499942,-75.7496734040358 45.4999231066234,-75.7495637172235 45.4999117343333,-75.749453 45.499908,-75.7493433092878 45.4999080371794,-75.7492336311404 45.4999067023263,-75.749124 45.499904,-75.7489849340563 45.4999022594096,-75.7488458777789 45.4999039264462,-75.748707 45.499909,-75.748651925118 45.4999121094126,-75.7485969213171 45.4999157763406,-75.748542 45.49992,-75.74842 45.499932,-75.748301 45.499947,-75.748229 45.499957,-75.748156 45.499968,-75.748084 45.49998,-75.7479968001304 45.5000007967508,-75.7479168338777 45.5000328505051,-75.747847 45.500075,-75.7477428001416 45.5001367615284,-75.7476300666755 45.5001906193317,-75.74751 45.500236,-75.7474168208263 45.5002663532134,-75.7473276111256 45.500302103913,-75.747243 45.500343,-75.74716 45.500383,-75.747074 45.50042,-75.746984 45.500454,-75.7468816063237 45.5004976350275,-75.7467847190202 45.500547080734,-75.746694 45.500602,-75.746649 45.50063,-75.746606 45.500659,-75.746563 45.500688,-75.746428 45.500779,-75.746427 45.50078,-75.7463926106052 45.5008067817602,-75.7463637643327 45.500836634308,-75.746341 45.500869,-75.7463177434844 45.5009082045387,-75.7463010042419 45.5009490482946,-75.746291 45.500991,-75.7462780731544 45.5010350990216,-75.7462534400393 45.5010766039434,-75.746218 45.501114,-75.746157 45.501166,-75.746092 45.501215,-75.746025 45.501263,-75.745893 45.501357,-75.745773 45.501445,-75.745656 45.501535,-75.745587 45.501587)"
"81017","831","Piste multifonctionnelle","Non","Non","T.Q.C","Flexible","Ville","0","1024.5","{CB590855-6694-483C-BA89-30AF19C32027}","LINESTRING (-75.592671 45.491157,-75.591954 45.491326,-75.59131 45.491476,-75.590776 45.491611,-75.590089 45.49178,-75.589544 45.491925,-75.588261 45.492248,-75.587383 45.49248,-75.586434 45.492734,-75.585715 45.492921,-75.583603 45.493475,-75.582781 45.493696,-75.581533 45.494014,-75.580358 45.494317)"
"81017","520","Piste multifonctionnelle","Oui","Non","T.Q.C","Flexible","Ville","0","791.0","{1F36D956-14D2-4A05-9C77-92C67372FD04}","LINESTRING (-75.488056 45.523525,-75.488317 45.523527,-75.488542 45.523479,-75.489134 45.523351,-75.491437 45.52287,-75.493293 45.522479,-75.494209 45.522283,-75.494522 45.522202,-75.494799 45.522145,-75.495238 45.522054,-75.495316 45.522042,-75.495399 45.522039,-75.495465 45.522054,-75.495525 45.522084,-75.495554 45.522102,-75.495784 45.522077,-75.495829 45.522054,-75.495866 45.522013,-75.495902 45.521966,-75.495962 45.521926,-75.496036 45.521892,-75.496147 45.521854,-75.496323 45.521807,-75.496545 45.521758,-75.496808 45.521703,-75.496962 45.521669,-75.497067 45.521651,-75.497229 45.521635,-75.497399 45.521606,-75.497648 45.521561)"
"81017","910","Piste multifonctionnelle","Non","Non","T.Q.C","Flexible","Ville","0","143.0","{A187BF73-31A0-45D1-9E55-188F7962EBF8}","LINESTRING (-75.751111 45.422874,-75.75115 45.422948,-75.751168 45.422979,-75.751182 45.423007,-75.7511912687738 45.4230315800449,-75.7511969539563 45.4230566666372,-75.751199 45.423082,-75.751204 45.423408,-75.7512228589785 45.4234448131348,-75.7512604918353 45.4234736547741,-75.751311 45.42349,-75.751349 45.423495,-75.751388 45.423501,-75.751426 45.423507,-75.7514452667528 45.4235144465146,-75.7514627377567 45.4235238489776,-75.751478 45.423535,-75.75154 45.42358,-75.751607 45.423621,-75.751678 45.423659,-75.7516826791614 45.4236611277643,-75.7516867277798 45.4236638245769,-75.75169 45.423667,-75.75194 45.423904)"
