"MUNID","CODEID","TYPE","ROUTE_VERT","DIREC_UNIQ","STATUT","REVETEMENT","PROPRIO","LARGEUR","LONGUEUR","ENTITEID","GEOM"
"81017","499","Piste multifonctionnelle","Oui","Non","T.Q.C","Flexible","Ville","0","148.5","{75749C17-58FF-4FCC-8EB3-196E3EC457C8}","LINESTRING (-75.559368 45.505036,-75.559497 45.505032,-75.559508 45.505031,-75.559604 45.505024,-75.559698 45.505011,-75.55979 45.504991,-75.559845 45.504977,-75.559961 45.504954,-75.560005 45.504949,-75.560116 45.504932,-75.560225 45.50491,-75.560332 45.504882,-75.560435 45.504849,-75.56049 45.504829,-75.560538 45.504816,-75.560588 45.504806,-75.560639 45.5048,-75.560758 45.504797,-75.560783 45.504797,-75.560808 45.504799,-75.560832 45.504804,-75.560855 45.504811,-75.560877 45.504821,-75.5609 45.504831,-75.560926 45.50484,-75.560953 45.504845,-75.560982 45.504847,-75.56101 45.504846,-75.561199 45.504834)"
"81017","1","Sentier polyvalent","Non","Non","T.Q.C","Gravier","Ville","3","21.2","{9AF7C298-35A4-4334-9CA0-92D91DA9300A}","LINESTRING (-75.747781 45.500345,-75.747729 45.500293,-75.747669 45.500245,-75.747604 45.500202)"
"81017","2","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","31.4","{851A269F-721B-43CF-9DAF-857B4FC4EBCD}","LINESTRING (-75.776741 45.469889,-75.776845 45.470162)"
"81017","3","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","15.0","{30370230-DC59-48FA-BFA3-B6C01E67ADC6}","LINESTRING (-75.718508 45.44857,-75.718543 45.448593,-75.718573 45.44862,-75.718596 45.44865,-75.718612 45.448682)"
"81017","4","Piste multifonctionnelle","Non","À compléter","T.Q.C","À compléter","À compléter","0","409.9","{A5FED909-8FCC-4D39-B0E4-C984FDBCDAA9}","LINESTRING (-75.706694 45.438116,-75.701788 45.436821)"
"81017","5","Accotement asphalté","Oui","Oui","T.Q.C","Flexible","Ville","0","2894.5","{A3155B59-23D8-4D50-8AC0-9B147A757CA9}","LINESTRING (-75.486361 45.523844,-75.486164 45.523933,-75.485637 45.524099,-75.485262 45.52422,-75.485029 45.524292,-75.484865 45.524341,-75.484692 45.5244,-75.484504 45.524479,-75.484293 45.524575,-75.484083 45.524661,-75.483397 45.524946,-75.482795 45.525219,-75.482291 45.525457,-75.481699 45.525756,-75.480949 45.526137,-75.47999 45.52662,-75.478412 45.527427,-75.476813 45.528241,-75.475835 45.528737,-75.47529 45.528993,-75.474674 45.529271,-75.474075 45.529517,-75.473529 45.529727,-75.473089 45.529894,-75.471582 45.530445,-75.469722 45.531113,-75.469279 45.531251,-75.468807 45.531367,-75.46841 45.531463,-75.468066 45.531528,-75.467722 45.531583,-75.46739 45.531632,-75.466969 45.531681,-75.466498 45.531733,-75.465728 45.531811,-75.464445 45.531946,-75.463852 45.532021,-75.463074 45.532137,-75.462523 45.532233,-75.461929 45.532348,-75.46124 45.532494,-75.460551 45.532657,-75.459934 45.532814,-75.458925 45.533076,-75.457955 45.533322,-75.456766 45.533628,-75.455924 45.533842,-75.455345 45.533983,-75.453081 45.534578)"
"81017","6","Sentier de randonnée","Non","Non","T.Q.C","Gravier","Ville","0","1119.8","{4F6AB535-FD32-4A5E-A1D1-50761D328EF8}","LINESTRING (-75.594335 45.498413,-75.594412 45.498482,-75.594415 45.498513,-75.594411 45.498654,-75.594397 45.498693,-75.594366 45.498724,-75.594307 45.498736,-75.594225 45.498733,-75.594121 45.498713,-75.594054 45.49871,-75.59396 45.498719,-75.593852 45.498743,-75.593734 45.498751,-75.593581 45.498741,-75.593431 45.498732,-75.593323 45.498717,-75.593174 45.498664,-75.593026 45.498623,-75.59286 45.49859,-75.592646 45.498575,-75.592426 45.498565,-75.592296 45.498544,-75.592149 45.498492,-75.591984 45.498426,-75.59179 45.498389,-75.591592 45.498344,-75.591469 45.498318,-75.591321 45.498313,-75.59116 45.498319,-75.591035 45.498314,-75.59089 45.498288,-75.590775 45.498275,-75.590642 45.49829,-75.590278 45.498355,-75.590001 45.498391,-75.589763 45.498423,-75.589524 45.498498,-75.589391 45.498535,-75.589152 45.49858,-75.588886 45.49863,-75.588694 45.498655,-75.588555 45.498663,-75.588468 45.498666,-75.588355 45.498701,-75.588222 45.498754,-75.588111 45.498816,-75.588002 45.498916,-75.587929 45.498973,-75.587865 45.499017,-75.587785 45.499043,-75.587726 45.499048,-75.587588 45.499054,-75.587453 45.499068,-75.587327 45.499079,-75.587159 45.499102,-75.586903 45.499112,-75.58672 45.499121,-75.586478 45.499174,-75.58639 45.499163,-75.585959 45.49909,-75.585533 45.499087,-75.584637 45.49922,-75.584284 45.4993,-75.583982 45.499329,-75.583822 45.499382,-75.583689 45.499455,-75.583593 45.499507,-75.583532 45.499516,-75.5834 45.499491,-75.583265 45.499511,-75.583095 45.499555,-75.582992 45.499621,-75.582835 45.499682,-75.58273 45.499707,-75.582543 45.499753,-75.582268 45.499789,-75.582082 45.499823,-75.581922 45.499841,-75.5818 45.499847,-75.581742 45.499873,-75.581675 45.49994,-75.581681 45.500243)"
"81017","7","Piste multifonctionnelle","Non","Non","T.Q.C","Flexible","Ville","0","458.6","{0040491C-07FA-49BE-9082-F4FAFE712854}","LINESTRING (-75.643521 45.508322,-75.642605 45.508435,-75.641987 45.508515,-75.641779 45.508536,-75.641147 45.508614,-75.640289 45.508718,-75.639424 45.508827,-75.639178 45.508854,-75.638864 45.508892,-75.638773 45.508901,-75.638677 45.508905,-75.638554 45.508898,-75.638456 45.508886,-75.638335 45.508867,-75.638223 45.508841,-75.63809 45.508802,-75.637986 45.508762,-75.637889 45.508716,-75.637795 45.508678)"
"81017","8","Sentier polyvalent","Non","Non","T.Q.C","Gravier","Ville","3","596.3","{613DC5E4-2DB5-4543-8247-1BF7547F353C}","LINESTRING (-75.751879 45.499652,-75.751879 45.499658,-75.751877 45.499678,-75.751871 45.499699,-75.751862 45.499718,-75.751826 45.499761,-75.751783 45.499801,-75.751732 45.499836,-75.751675 45.499866,-75.751613 45.49989,-75.7515 45.499926,-75.751384 45.499957,-75.751264 45.499981,-75.751143 45.499998,-75.75102 45.500009,-75.750896 45.500013,-75.750873 45.500015,-75.750851 45.500019,-75.75083 45.500026,-75.75081 45.500035,-75.750793 45.500046,-75.750779 45.500059,-75.750754 45.500082,-75.750723 45.500103,-75.750688 45.50012,-75.750649 45.500133,-75.750608 45.500141,-75.750566 45.500145,-75.750523 45.500144,-75.750294 45.500126,-75.750227 45.500118,-75.750163 45.500102,-75.750102 45.500081,-75.750047 45.500053,-75.749987 45.500018,-75.749923 45.499987,-75.749853 45.499961,-75.749781 45.499942,-75.7497 45.499927,-75.749619 45.499916,-75.749536 45.49991,-75.749453 45.499908,-75.749289 45.499907,-75.749124 45.499904,-75.748985 45.499902,-75.748846 45.499904,-75.748707 45.499909,-75.748542 45.49992,-75.74842 45.499932,-75.748301 45.499947,-75.748192 45.499962,-75.748084 45.49998,-75.748018 45.499995,-75.747956 45.500016,-75.747898 45.500043,-75.747847 45.500075,-75.74777 45.500122,-75.747687 45.500165,-75.747601 45.500203,-75.74751 45.500236,-75.747417 45.500266,-75.747328 45.500302,-75.747243 45.500343,-75.74716 45.500383,-75.747074 45.50042,-75.746984 45.500454,-75.746882 45.500498,-75.746785 45.500547,-75.746694 45.500602,-75.746627 45.500644,-75.746563 45.500688,-75.746428 45.500779,-75.746427 45.50078,-75.746393 45.500807,-75.746364 45.500836,-75.746341 45.500869,-75.746318 45.500908,-75.746301 45.500949,-75.746291 45.500991,-75.746282 45.501024,-75.746267 45.501056,-75.746245 45.501086,-75.746218 45.501114,-75.746125 45.501191,-75.746025 45.501263,-75.745893 45.501357,-75.745773 45.501445,-75.745656 45.501535,-75.745587 45.501587)"
"81017","9","Piste multifonctionnelle","Oui","Non","T.Q.C","Flexible","Ville","0","1024.6","{E3702F60-9487-4BE3-A2CA-6B3F16E37501}","LINESTRING (-75.592671 45.491157,-75.591954 45.491326,-75.59131 45.491476,-75.590776 45.491611,-75.590089 45.49178,-75.589544 45.491925,-75.588261 45.492248,-75.587383 45.49248,-75.586434 45.492734,-75.585715 45.492921,-75.583603 45.493475,-75.582781 45.493696,-75.581533 45.494014,-75.580914 45.494184,-75.580473 45.494294,-75.580358 45.494317)"
