ENTITEID|MUNID|CODEID|TYPE|ROUTE_VERT|DIREC_UNIQ|STATUT|REVETEMENT|PROPRIO|LARGEUR|LONGUEUR|GEOM
{0538F6D0-969B-44F0-A34E-D8A1F54C44D9}|81017|3|Sentier polyvalent|Oui|Non|T.Q.C|Flexible|Ville|0|1392.1|LINESTRING (-75.822584 45.384449,-75.821381 45.384328,-75.820521 45.384265,-75.819767 45.384231,-75.81897 45.384215,-75.818368 45.384217,-75.817733 45.38423,-75.817102 45.384248,-75.816819 45.384253,-75.816777 45.384203,-75.816727 45.384095,-75.816689 45.383972,-75.816618 45.38386,-75.816508 45.383733,-75.816431 45.383625,-75.816404 45.383554,-75.816426 45.383462,-75.816463 45.383344,-75.816449 45.383276,-75.816364 45.383212,-75.815962 45.38297,-75.815339 45.382604,-75.815182 45.38251,-75.815094 45.382476,-75.814912 45.382453,-75.81476 45.382432,-75.81468 45.382406,-75.814631 45.382355,-75.814578 45.382223,-75.814484 45.382078,-75.814417 45.382001,-75.814314 45.381951,-75.81357 45.381678,-75.81341 45.381611,-75.813339 45.381546,-75.813262 45.381471,-75.813076 45.381366,-75.812904 45.381266,-75.812775 45.381207,-75.812648 45.381166,-75.812558 45.381138,-75.812491 45.381097,-75.812408 45.381038,-75.812316 45.380988,-75.812109 45.380892,-75.811885 45.380794,-75.811621 45.380693,-75.811298 45.380585,-75.810867 45.380437,-75.810683 45.380395,-75.810564 45.380398,-75.810478 45.380421,-75.810398 45.380415,-75.810157 45.380345,-75.809946 45.380268,-75.809827 45.380207,-75.80974 45.380108,-75.809553 45.379922,-75.809437 45.379832,-75.809179 45.379717,-75.808867 45.379596,-75.808671 45.37952,-75.808565 45.379503,-75.808489 45.379525,-75.8084 45.379645,-75.808315 45.379798,-75.808256 45.3799)
{B7D6F827-8C5A-4A3F-B5AA-F175C3B89A86}|81017|5|Sentier polyvalent|Non|Non|T.Q.C|Flexible|CCN|0|375.4|LINESTRING (-75.788748 45.395038,-75.788628 45.395013,-75.788476 45.394964,-75.788322 45.3949,-75.788201 45.394827,-75.788124 45.394735,-75.788051 45.39459,-75.787982 45.394375,-75.787937 45.394203,-75.787895 45.394026,-75.787812 45.393829,-75.787714 45.393633,-75.787611 45.393468,-75.787489 45.39327,-75.78744 45.393188,-75.787405 45.39307,-75.787354 45.392922,-75.787314 45.392834,-75.787248 45.392767,-75.787163 45.392725,-75.78708 45.392713,-75.787019 45.39272,-75.786971 45.392747,-75.786954 45.39279,-75.786954 45.392831,-75.787 45.392879,-75.787118 45.392959,-75.7873 45.393074,-75.787385 45.393158)
{3C0B6A23-31AC-48A5-9371-3F8671C0DAFC}|81017|8|Sentier polyvalent|Non|Non|T.Q.C|Flexible|Ville|0|15.3|LINESTRING (-75.751178 45.419391,-75.75117 45.419529)
{4DF27177-E548-4FD2-BA8F-922B48A5CB24}|81017|9|Sentier polyvalent|Non|Non|T.Q.C|Flexible|CCN|0|224.6|LINESTRING (-75.741663 45.420791,-75.740953 45.420809,-75.740437 45.420839,-75.740203 45.420844,-75.740103 45.420837,-75.740013 45.420791,-75.739999 45.420702,-75.739919 45.420561,-75.73985 45.420513,-75.739768 45.420494,-75.73958 45.420472,-75.739449 45.420467,-75.739352 45.420423,-75.739211 45.420292)
{F6513A55-7D4B-45CC-B31D-229BD37B8DCA}|81017|10|Sentier polyvalent|Non|Non|T.Q.C|Flexible|CCN|0|29.4|LINESTRING (-75.739449 45.420467,-75.739334 45.420479,-75.739237 45.420528,-75.739127 45.420591)
{1EBF2A04-B4CB-473A-B3B4-21C6FB05D71F}|81017|13|Sentier polyvalent|Non|Non|T.Q.C|Flexible|CCN|0|56.4|LINESTRING (-75.726175 45.423191,-75.726209 45.423115,-75.726277 45.423033,-75.726337 45.422957,-75.726376 45.422879,-75.726416 45.422772,-75.726454 45.422727)
{358860BA-375C-4D1E-8595-99DCB9BBF461}|81017|16|Sentier polyvalent|Non|Non|T.Q.C|Flexible|Ville|0|78.4|LINESTRING (-75.752421 45.418662,-75.752403 45.418619,-75.752363 45.41859,-75.752279 45.418577,-75.752155 45.418581,-75.75197 45.418588,-75.751802 45.418592,-75.751683 45.418584,-75.75162 45.418565,-75.751521 45.418505)
{F2D60DB5-6755-44B5-8CAB-EB2FA272D8B6}|81017|17|Sentier polyvalent|Non|Non|T.Q.C|Flexible|CCN|0|250.9|LINESTRING (-75.791616 45.392038,-75.791574 45.391981,-75.791471 45.391896,-75.791432 45.391805,-75.791398 45.391586,-75.791363 45.391462,-75.79131 45.391331,-75.791279 45.391196,-75.791269 45.391044,-75.791248 45.390718,-75.791236 45.390539,-75.791247 45.390441,-75.791282 45.390358,-75.791328 45.390308,-75.791338 45.390238,-75.79131 45.390159,-75.791182 45.389859)
{A4165697-4B5A-4A91-A970-3734080CF943}|81017|18|Sentier polyvalent|Non|Non|T.Q.C|Flexible|CCN|0|226.5|LINESTRING (-75.799682 45.386783,-75.799783 45.386842,-75.799852 45.386913,-75.799865 45.387006,-75.799806 45.387073,-75.79975 45.387137,-75.799672 45.387183,-75.799582 45.387224,-75.799503 45.387257,-75.799443 45.387297,-75.799385 45.387335,-75.799356 45.387387,-75.799308 45.387443,-75.799232 45.387493,-75.799146 45.387555,-75.79903 45.387643,-75.798914 45.38772,-75.798798 45.387789,-75.798676 45.387857,-75.798587 45.387891,-75.798497 45.387912,-75.79838 45.387919,-75.798263 45.387919,-75.798144 45.387903,-75.798051 45.387887,-75.797912 45.387867)
{E9CEC36B-1FBF-47CA-AB7E-7C63E9AC3730}|81017|719|Sentier polyvalent|Oui|Non|T.Q.C|Flexible|Ville|3|561.7|LINESTRING (-75.808256 45.3799,-75.808202 45.379907,-75.807784 45.379913,-75.80747 45.379921,-75.807275 45.379934,-75.807078 45.379944,-75.806899 45.379954,-75.806741 45.379977,-75.806569 45.380012,-75.806372 45.380035,-75.806156 45.380035,-75.805806 45.380029,-75.805552 45.380026,-75.805396 45.380021,-75.805261 45.380039,-75.805152 45.380051,-75.804898 45.380057,-75.80441 45.380059,-75.804073 45.380061,-75.803928 45.380062,-75.803835 45.380045,-75.803755 45.380008,-75.803667 45.380004,-75.803573 45.380014,-75.803443 45.380006,-75.803265 45.379979,-75.80312 45.379956,-75.802972 45.379954,-75.802814 45.379954,-75.802648 45.379953,-75.802516 45.379936,-75.80236 45.37991,-75.802254 45.379907,-75.802145 45.379917,-75.802028 45.379942,-75.801892 45.380005,-75.801751 45.380085,-75.801663 45.380114,-75.801567 45.380124,-75.801419 45.380129,-75.801323 45.380135,-75.801245 45.380157,-75.801232 45.380165)
{A4F92D70-953B-4FED-9E14-27D3C96C6601}|81017|722|Sentier polyvalent|Oui|Non|T.Q.C|Flexible|Ville|0|693.7|LINESTRING (-75.865765 45.401515,-75.866022 45.40163,-75.866318 45.401757,-75.866536 45.401864,-75.866729 45.401979,-75.866906 45.402109,-75.867123 45.402274,-75.867314 45.402393,-75.867554 45.402533,-75.867835 45.402687,-75.868006 45.402778,-75.868261 45.402885,-75.868571 45.402989,-75.8688 45.40308,-75.869024 45.403193,-75.869234 45.403292,-75.869461 45.403385,-75.869773 45.4035,-75.870136 45.403651,-75.87057 45.403833,-75.87133 45.404149,-75.87167 45.404282,-75.872027 45.404419,-75.872343 45.404536,-75.872777 45.404706,-75.872915 45.404762,-75.872761 45.404957)
{DB6AE034-6663-4E8E-80F0-20B1B609C991}|81017|726|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|1024.6|LINESTRING (-75.752237 45.436271,-75.752259 45.436336,-75.752273 45.436483,-75.752281 45.436588,-75.752308 45.436662,-75.752364 45.436719,-75.752444 45.436765,-75.752525 45.43679,-75.752624 45.436803,-75.752738 45.436827,-75.75287 45.436873,-75.753016 45.436942,-75.753213 45.43704,-75.753458 45.43716,-75.753691 45.437254,-75.753893 45.437327,-75.754121 45.437398,-75.754428 45.437477,-75.7548 45.437569,-75.755122 45.437639,-75.755533 45.437728,-75.755956 45.437818,-75.756138 45.43787,-75.756275 45.437926,-75.756434 45.438006,-75.75653 45.438071,-75.756605 45.438157,-75.756665 45.438252,-75.756803 45.43846,-75.756857 45.438517,-75.756959 45.438639,-75.757035 45.438722,-75.757082 45.438767,-75.757199 45.438823,-75.757287 45.438833,-75.757399 45.438835,-75.757519 45.438815,-75.757631 45.438794,-75.75771 45.438776,-75.757817 45.438777,-75.757918 45.438794,-75.758015 45.438818,-75.758113 45.438838,-75.758212 45.438846,-75.758337 45.438836,-75.758447 45.438812,-75.758628 45.438754,-75.758853 45.438689,-75.759064 45.43864,-75.759194 45.438627,-75.759329 45.438631,-75.759423 45.438625,-75.759502 45.438605,-75.759576 45.438567,-75.759653 45.43854,-75.759752 45.438528,-75.759831 45.438529,-75.759922 45.43856,-75.759987 45.438628,-75.760016 45.438729,-75.760015 45.438834,-75.759996 45.438942,-75.759959 45.439034,-75.75994 45.43909,-75.759965 45.439151,-75.760008 45.439199,-75.760061 45.439225,-75.760139 45.439236,-75.760221 45.43922,-75.760275 45.439187,-75.760316 45.439121,-75.760465 45.438834,-75.760512 45.438752,-75.760604 45.438681,-75.760693 45.438642,-75.760831 45.438611,-75.760956 45.438606,-75.7611 45.438634,-75.761229 45.438678,-75.761335 45.438739,-75.761428 45.438811,-75.761524 45.438894,-75.761627 45.439018,-75.761753 45.43923)
{437AA02F-02F5-4D3E-881C-86E0604C856A}|81017|727|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|344.7|LINESTRING (-75.750258 45.433522,-75.750317 45.433648,-75.750412 45.433802,-75.750476 45.433919,-75.75062 45.434233,-75.750761 45.434517,-75.750851 45.434648,-75.750953 45.434763,-75.751107 45.434898,-75.751405 45.435176,-75.751496 45.435271,-75.751883 45.435795,-75.752045 45.43601,-75.752237 45.436271)
{6FAB28E7-F17C-4CA5-8E18-6E12F8EED3C6}|81017|743|Bande cyclable||Oui|T.Q.C|Flexible|Ville|1.8|859.8|LINESTRING (-75.74452 45.446917,-75.7446699876415 45.4471061132597,-75.7447706992984 45.4473105625196,-75.744819 45.447524,-75.744901 45.448245,-75.74491 45.448351,-75.745538 45.45306,-75.745741 45.454581)
{C82D6A46-B01D-4394-95E8-3AF45D37E680}|81017|745|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|16.1|LINESTRING (-75.771036 45.46031,-75.771055 45.460455)
{736BD273-5385-4741-A33B-643319C24C48}|81017|754|Accotement asphalté|Non|Oui|Autre|Flexible|Ville|0|1046.1|LINESTRING (-75.729617 45.451848,-75.729682 45.452072,-75.729899 45.452952,-75.730129 45.453889,-75.730222 45.454223,-75.730282 45.454361,-75.730348 45.454473,-75.730426 45.454587,-75.73052 45.45469,-75.730648 45.454812,-75.730805 45.454928,-75.730971 45.455022,-75.731156 45.455103,-75.731369 45.455183,-75.731637 45.455282,-75.731831 45.455367,-75.732016 45.455467,-75.732178 45.455575,-75.732339 45.455715,-75.732449 45.455835,-75.732543 45.455961,-75.732627 45.456111,-75.73271 45.456307,-75.732847 45.456627,-75.733229 45.457551,-75.733576 45.458374,-75.733713 45.458645,-75.733811 45.458813,-75.733958 45.459032,-75.734123 45.459243,-75.734405 45.45967,-75.734589 45.460013,-75.734699 45.460229)
{60F3CA38-8BD1-498B-B520-45A771872683}|81017|28|Sentier polyvalent||Non|T.Q.C|Flexible|Ville|0|20.0|LINESTRING (-75.76605 45.429046,-75.765955 45.428879)
{5BB1277C-9482-41B1-A84D-94CB47771384}|81017|30|Sentier polyvalent||Non|T.Q.C|Flexible|Ville|3.2|475.7|LINESTRING (-75.767997 45.426253,-75.768127 45.426313,-75.768609 45.426469,-75.768811 45.426541,-75.76896 45.426565,-75.769083 45.42661,-75.769427 45.426717,-75.769716 45.426826,-75.769919 45.426903,-75.770218 45.427001,-75.770559 45.427103,-75.770754 45.427168,-75.771037 45.427189,-75.771219 45.427259,-75.771444 45.427368,-75.771972 45.427554,-75.77244 45.42773,-75.772463 45.427736,-75.772564 45.427759,-75.772718 45.427816,-75.772897 45.427897,-75.77303 45.427932,-75.773491 45.428026)
{B803028D-F6D9-4549-93E8-337B9DDF6300}|81017|31|Sentier polyvalent||Non|T.Q.C|Flexible|Ville|0|39.9|LINESTRING (-75.768811 45.426541,-75.768929 45.426493,-75.768994 45.426441,-75.769061 45.426348,-75.769145 45.426281)
{71A221A2-3A97-4527-BAB5-2E7ADEA1D1F7}|81017|32|Sentier polyvalent||Non|T.Q.C|Flexible|Ville|0|436.6|LINESTRING (-75.766175 45.428942,-75.766074 45.428913,-75.765955 45.428879,-75.765855 45.428826,-75.765719 45.428758,-75.765645 45.428707,-75.765611 45.428661,-75.765586 45.428583,-75.765583 45.428483,-75.765582 45.42838,-75.765604 45.428269,-75.765622 45.428184,-75.765669 45.428125,-75.765746 45.428095,-75.765886 45.428063,-75.765986 45.42802,-75.766087 45.427942,-75.766144 45.427862,-75.766229 45.427702,-75.766298 45.427588,-75.766371 45.427483,-75.766403 45.427417,-75.766459 45.427348,-75.76654 45.4273,-75.766622 45.427287,-75.766757 45.427281,-75.766887 45.427256,-75.76706 45.427212,-75.76726 45.427161,-75.767404 45.427112,-75.767463 45.427075,-75.767532 45.426974,-75.767629 45.426796,-75.767637 45.426724,-75.767638 45.426662,-75.76762 45.4266,-75.767554 45.426524,-75.767471 45.426449,-75.767388 45.426407,-75.767268 45.426395,-75.767135 45.426422,-75.766898 45.426447)
{54F60979-8524-4BB9-A227-059739B665BF}|81017|33|Sentier polyvalent||Non|T.Q.C|Flexible|Ville|0|43.8|LINESTRING (-75.765582 45.42838,-75.765459 45.428377,-75.765023 45.42835)
{DE5C0993-7AB6-41F0-B285-D7F08453B92E}|81017|51|Chaussée désignée|Oui|Non|T.Q.C|Flexible|Ville|0|360.8|LINESTRING (-75.72487 45.426258,-75.725287 45.426118,-75.725377 45.426171,-75.725411 45.426272,-75.725426 45.426402,-75.72547 45.42653,-75.725545 45.426688,-75.725644 45.426854,-75.725767 45.427002,-75.725915 45.42716,-75.726095 45.427316,-75.72633 45.427507,-75.726533 45.427688,-75.726826 45.427993,-75.727245 45.428529,-75.727254 45.42863)
{C7420E97-1B2A-4F9D-8349-438FEC60701F}|81017|749|Sentier polyvalent|Non|Non|T.Q.C|Flexible|Ville|0|676.2|LINESTRING (-75.767861 45.46062,-75.767998 45.460732,-75.768077 45.46081,-75.768247 45.461004,-75.768477 45.4612,-75.768905 45.461593,-75.769055 45.461699,-75.769194 45.461843,-75.769864 45.462382,-75.769987 45.462502,-75.770094 45.462573,-75.770232 45.462642,-75.770348 45.462735,-75.770628 45.462938,-75.770668 45.46298,-75.770701 45.463023,-75.77079 45.46309,-75.770963 45.463204,-75.771135 45.463339,-75.771293 45.463441,-75.771443 45.463545,-75.771532 45.463598,-75.771601 45.463659,-75.771696 45.463749,-75.771749 45.463788,-75.771834 45.463837,-75.772051 45.463967,-75.772234 45.464089,-75.772438 45.464225,-75.772854 45.464494,-75.77299 45.464578,-75.773063 45.464639,-75.773137 45.464701,-75.773188 45.464762,-75.773212 45.464823,-75.773239 45.464876,-75.773434 45.465014,-75.773322 45.465152)
{3AA35500-5281-4183-9FFF-1D0A999F35D2}|81017|750|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|1438.0|LINESTRING (-75.764429 45.470771,-75.764517 45.470744,-75.764649 45.470692,-75.764756 45.470647,-75.764839 45.47062,-75.764947 45.470589,-75.765016 45.470558,-75.765061 45.470516,-75.765165 45.470432,-75.765246 45.470367,-75.765312 45.470314,-75.76539 45.470246,-75.765477 45.470181,-75.765572 45.470139,-75.765731 45.470092,-75.765877 45.470052,-75.766021 45.469998,-75.766222 45.469914,-75.766418 45.469827,-75.766511 45.469778,-75.766575 45.469727,-75.766643 45.469652,-75.766713 45.469578,-75.766773 45.469527,-75.766867 45.469474,-75.766951 45.469417,-75.767055 45.469344,-75.76715 45.469268,-75.767241 45.469204,-75.767339 45.469147,-75.767453 45.469104,-75.767602 45.469067,-75.767751 45.469052,-75.767872 45.469056,-75.767996 45.469066,-75.768192 45.46911,-75.768393 45.469147,-75.768524 45.469165,-75.768607 45.469187,-75.768679 45.469226,-75.768736 45.469292,-75.768771 45.469376,-75.768791 45.469483,-75.768809 45.4697,-75.768827 45.469846,-75.768861 45.469899,-75.768921 45.469941,-75.768996 45.469977,-75.769094 45.469996,-75.769245 45.470014,-75.769402 45.470042,-75.769524 45.470081,-75.769682 45.47014,-75.76983 45.470184,-75.770014 45.470212,-75.770171 45.470225,-75.770359 45.470238,-75.770442 45.470255,-75.770527 45.470295,-75.770589 45.470351,-75.770616 45.470432,-75.770611 45.470514,-75.77057 45.470606,-75.770504 45.470717,-75.77047 45.470785,-75.770463 45.470834,-75.770476 45.470874,-75.770518 45.470902,-75.770568 45.470917,-75.770619 45.470915,-75.770684 45.470902,-75.770797 45.470869,-75.7709 45.470848,-75.770994 45.470836,-75.771151 45.47084,-75.77128 45.470837,-75.771408 45.470826,-75.771539 45.470801,-75.771653 45.470763,-75.771738 45.470724,-75.771818 45.470688,-75.771893 45.470657,-75.771952 45.470621,-75.772018 45.470559,-75.772084 45.470472,-75.77214 45.470374,-75.772196 45.470253,-75.772243 45.470168,-75.772293 45.470137,-75.77236 45.470117,-75.772434 45.4701,-75.772535 45.470095,-75.772605 45.470105,-75.772709 45.470138,-75.772783 45.47017,-75.772862 45.470216,-75.772931 45.470261,-75.772993 45.470283,-75.773103 45.470293,-75.7732 45.470286,-75.773294 45.470258,-75.773348 45.470214,-75.773383 45.470165,-75.773388 45.470107,-75.773382 45.470043,-75.77341 45.469977,-75.773471 45.4699,-75.773552 45.469827,-75.773671 45.469734,-75.773745 45.469678,-75.773874 45.469604,-75.774002 45.469543,-75.774127 45.469491,-75.774295 45.469432,-75.774421 45.469399,-75.774517 45.469393,-75.774588 45.469398,-75.774678 45.469425,-75.774773 45.469458,-75.77483 45.469468,-75.774906 45.469471,-75.775003 45.469454,-75.775096 45.469419,-75.775181 45.46937,-75.775269 45.469324,-75.775335 45.469291,-75.775412 45.469267,-75.775506 45.469254,-75.775654 45.469257,-75.775798 45.46927,-75.775968 45.46929,-75.776343 45.469342,-75.776595 45.469383,-75.776874 45.469422,-75.777091 45.469464,-75.777303 45.469503,-75.777463 45.469518,-75.777623 45.469519,-75.777767 45.469505,-75.777931 45.469469,-75.778083 45.469431,-75.77838 45.469331,-75.778514 45.469282)
{470E6B87-5D22-4BED-853F-E807427A9F03}|81017|758|Accotement asphalté|Non|Oui|Autre|Flexible|Ville|1.8|915.5|LINESTRING (-75.729306 45.44067,-75.728936 45.441233,-75.728535 45.441856,-75.728446 45.442022,-75.728388 45.442155,-75.72834 45.442347,-75.728295 45.442627,-75.72826 45.442886,-75.728279 45.442991,-75.728291 45.443089,-75.728281 45.443177,-75.728264 45.443277,-75.728217 45.443369,-75.728181 45.443492,-75.728144 45.443733,-75.728082 45.444293,-75.728073 45.4446,-75.728049 45.445213,-75.728097 45.445481,-75.728105 45.445616,-75.728132 45.44576,-75.72812 45.445967,-75.72821 45.446345,-75.728336 45.446799,-75.728519 45.447485,-75.728671 45.447993,-75.728748 45.44818,-75.728833 45.448463,-75.728896 45.448694)
{D1741202-92C2-4A36-AD9D-1ECD011B3CE7}|81017|760|Accotement asphalté||Oui|Autre|Flexible|Ville|0|927.5|LINESTRING (-75.728605 45.448956,-75.728461 45.4484,-75.728237 45.447555,-75.728166 45.447263,-75.728125 45.447082,-75.728089 45.446903,-75.728059 45.446762,-75.728008 45.446568,-75.727882 45.446307,-75.727852 45.44619,-75.727824 45.446056,-75.727817 45.445924,-75.7278 45.445805,-75.727795 45.445491,-75.727802 45.445195,-75.727808 45.44494,-75.727818 45.444473,-75.727838 45.444185,-75.7279 45.44365,-75.727955 45.443256,-75.728048 45.44261,-75.728085 45.442385,-75.728115 45.442221,-75.728162 45.442084,-75.728218 45.441951,-75.728274 45.441834,-75.728378 45.441667,-75.7289 45.440876,-75.728944 45.440794)
{495D03C6-F2EA-4B27-8919-8F038AA5A3D8}|81017|860|Sentier polyvalent|Oui|Non|T.Q.C|Flexible|CCN|3|165.5|LINESTRING (-75.743349 45.418057,-75.741241 45.418178)
{147461BF-6815-47E0-8EB6-F8146C3D45DD}|81017|62|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|50.2|LINESTRING (-75.724564 45.439903,-75.724501 45.43994,-75.724412 45.440003,-75.724341 45.440062,-75.724301 45.440122,-75.724262 45.440281)
{DAD84653-09EF-4ACA-A01C-9FC8E61BA7FF}|81017|66|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|97.7|LINESTRING (-75.737586 45.471468,-75.737667 45.471465,-75.737729 45.471472,-75.737796 45.471482,-75.73786 45.471517,-75.737958 45.471592,-75.738035 45.471643,-75.738109 45.471676,-75.738196 45.471687,-75.73829 45.471686,-75.738438 45.47167,-75.738607 45.471646,-75.738713 45.471616)
{FE27CAA5-6872-4299-80E5-B20F909D1AA2}|81017|67|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|46.4|LINESTRING (-75.73786 45.471517,-75.73783 45.471456,-75.737813 45.471362,-75.73781 45.471234,-75.73782 45.471171,-75.737851 45.471107)
{20EFF59E-50DF-49D2-B7FA-678C81D72C01}|81017|68|Sentier polyvalent||Non|T.Q.C|Flexible|Ville|0|62.0|LINESTRING (-75.736352 45.471597,-75.736379 45.471662,-75.736408 45.471706,-75.73647 45.471738,-75.73652 45.471761,-75.736547 45.471808,-75.736567 45.471878,-75.73658 45.471962,-75.736614 45.472012,-75.736666 45.472063,-75.736669 45.472083)
{8A53D811-6563-4989-8099-68FA1628FC7A}|81017|69|Sentier polyvalent||Non|T.Q.C|Flexible|CCN|0|382.5|LINESTRING (2 34,-75.735425 45.471638,-75.735266 45.471682,-75.73512 45.4717,-75.73495 45.471694,-75.734693 45.471658,-75.734493 45.471625,-75.734359 45.47159,-75.73426 45.471554,-75.734204 45.471544,-75.734158 45.471551,-75.734108 45.471568,-75.734047 45.471618,-75.733974 45.47168,-75.733904 45.471729,-75.733812 45.471796,-75.73377 45.471845,-75.733759 45.47189,-75.733764 45.471936,-75.733803 45.471999,-75.733838 45.472064,-75.733847 45.472107,-75.733835 45.472159,-75.733789 45.472207,-75.733724 45.472245,-75.733633 45.472278,-75.733577 45.472308,-75.73351 45.472361,-75.733455 45.472435,-75.733397 45.472544,-75.733347 45.472647,-75.733296 45.472772,-75.733268 45.472876,-75.73326 45.472991,-75.733261 45.473075,2 15,-75.733261 45.473075,-75.733237 45.473119,-75.733146 45.4732,-75.733093 45.473255,-75.733071 45.4733,-75.733087 45.473337,-75.733121 45.47336,-75.733167 45.473374,-75.733214 45.473375,-75.733255 45.473359,-75.733284 45.473325,-75.733294 45.473275,-75.733292 45.473191,-75.73328 45.473123,-75.733261 45.473075)
